Name,Tier,Examples,Trait,Trait Bonus,Evasion Bonus,Attack Range,Attack Trait,Attack Dice,Advantage 1,Advantage 2,Advantage 3,Advantage 4,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Is Composite
Agile Scout,1,"Fox, Mouse, Weasel",Agility,1,2,Melee,Agility,d4,deceive,locate,sneak,,Agile,Your movement is silent and you can spend a Hope to move up to Far range without rolling.,Fragile,When you take Major or greater damage you drop out of Beastform.,,,false
Household Friend,1,"Cat, Dog, Rabbit",Instinct,1,2,Melee,Instinct,d6,climb,locate,protect,,Companion,When you Help an Ally you can roll a d8 as your advantage die.,Fragile,When you take Major or greater damage you drop out of Beastform.,,,false
Nimble Grazer,1,"Deer, Gazelle, Goat",Agility,1,3,Melee,Agility,d6,leap,sneak,sprint,,Elusive Prey,"When an attack roll against you would succeed, you can mark a Stress and roll a d4. Add the result to your Evasion against this attack.",Fragile,When you take Major or greater damage you drop out of Beastform.,,,false
Pack Predator,1,"Coyote, Hyena, Wolf",Strength,2,1,Melee,Strength,d8+2,attack,sprint,track,,Hobbling Strike,"When you succeed on an attack against a target within Melee range, you can mark a Stress to make the target temporarily Vulnerable.",Pack Hunting,"When you succeed on an attack against the same target as an ally who acts immediately before you, add a d8 to your damage roll.",,,false
Aquatic Scout,1,"Eel, Fish, Octopus",Agility,1,2,Melee,Agility,d4,navigate,sneak,swim,,Aquatic,You can breathe and move naturally underwater.,Fragile,When you take Major or greater damage you drop out of Beastform.,,,false
Stalking Arachnid,1,"Tarantula, Wolf Spider",Finesse,1,2,Melee,Finesse,d6+1,attack,climb,sneak,,Venomous Bite,"When you succeed on an attack against a target within Melee range, the target becomes temporarily Poisoned. A Poisoned creature takes 1d10 direct physical damage each time they act.",Webslinger,"You can create a strong web material useful for both adventuring and battle. The web is resilient enough to support one creature. You can temporarily Restrain a target within Close range by succeeding on a Finesse Roll against them.",,,false
Mighty Strider,1,"Camel, Horse, Zebra",Agility,1,2,Melee,Agility,d8+1,leap,navigate,sprint,,Carrier,You can carry up to two willing allies with you when you move.,Trample,"Mark a Stress to move up to Close range in a straight line and make an attack against all targets within Melee range of the line. Targets you succeed against take d8+1 physical damage using your Proficiency and are temporarily Vulnerable.",,,false
Armored Sentry,2,"Armadillo, Pangolin, Turtle",Strength,1,1,Melee,Strength,d8+2,dig,locate,protect,,Armored Shell,"Your hardened exterior gives you resistance to physical damage. Additionally, mark an Armor slot to retract into your shell. While in your shell, physical damage is reduced by a number equal to your Armor Score (after applying resistance), but you can't perform other actions without leaving this form.",Cannonball,"Mark a Stress to allow an ally to throw or launch you at an adversary. To do so, the ally makes an attack roll using Agility or Strength (their choice) against a target within Close Range. On a success, the adversary takes d12+2 physical damage using the thrower's Proficiency. You can spend a Hope to target an additional adversary within Very Close range of the first. The second target takes half the damage dealt to the first target.",,,false
Powerful Beast,2,"Bear, Bull, Moose",Strength,3,1,Melee,Strength,d10+4,navigate,protect,scare,,Rampage,"When you roll a 1 on a damage die, you can roll a d10 and add the result to the damage roll. Additionally, before you make an attack roll, you can mark a Stress to gain a +1 bonus to your Proficiency for that attack.",Thick Hide,You gain a +2 bonus to your damage thresholds.,,,false
Striking Serpent,2,"Cobra, Rattlesnake, Viper",Finesse,1,2,Very Close,Finesse,d8+4,climb,deceive,sprint,,Venomous Strike,"Make an attack against any number of targets within Very Close range. On a success, a target is temporarily Poisoned. A Poisoned creature takes 1d10 direct physical damage each time they act.",Warning Hiss,Mark a Stress to force any number of targets within Melee range to move back to Very Close range.,,,false
Pouncing Predator,2,"Cheetah, Lion, Panther",Instinct,1,3,Melee,Instinct,d8+6,attack,climb,sneak,,Fleet,Spend a Hope to move up to Far range without rolling.,Takedown,"Mark a Stress to move into Melee range of a target and make an attack roll against them. On a success, you gain a +2 bonus to your Proficiency for this attack and the target must mark a Stress.",,,false
Winged Beast,2,"Hawk, Owl, Raven",Finesse,1,3,Melee,Finesse,d4+2,deceive,locate,scare,,Bird's-Eye View,"You can fly at will. Once per rest while you are airborne, you can ask the GM a question about the scene below you without needing to roll. The first time a character makes a roll to act on this information, they gain advantage on the roll.",Hollow Bones,You gain a -2 penalty to your damage thresholds.,,,false
Great Predator,3,"Dire Wolf, Velociraptor, Sabertooth Tiger",Strength,2,2,Melee,Strength,d12+8,attack,sneak,sprint,,Carrier,You can carry up to two willing allies with you when you move.,Vicious Maul,"When you succeed on an attack against a target, you can spend a Hope to make them temporarily Vulnerable and gain a +1 bonus to your Proficiency for this attack.",,,false
Mighty Lizard,3,"Alligator, Crocodile, Gila Monster",Instinct,2,1,Melee,Instinct,d10+7,attack,sneak,track,,Physical Defense,You gain a +3 bonus to your damage thresholds.,Snapping Strike,"When you succeed on an attack against a target within Melee range, you can spend a Hope to clamp that opponent in your jaws, making them temporarily Restrained and Vulnerable.",,,false
Great Winged Beast,3,"Giant Eagle, Falcon",Finesse,2,3,Melee,Finesse,d8+6,deceive,distract,locate,,Bird's-Eye View,"You can fly at will. Once per rest while you are airborne, you can ask the GM a question about the scene below you without needing to roll. The first time a character makes a roll to act on this information, they gain advantage on the roll.",Carrier,You can carry up to two willing allies with you when you move.,,,false
Aquatic Predator,3,"Dolphin, Orca, Shark",Agility,2,4,Melee,Agility,d10+6,attack,swim,track,,Aquatic,You can breathe and move naturally underwater.,Vicious Maul,"When you succeed on an attack against a target, you can spend a Hope to make them Vulnerable and gain a +1 bonus to your Proficiency for this attack.",,,false
Legendary Beast,3,,,,,,,,,,,,Evolved,"Pick a Tier 1 Beastform option and become a larger, more powerful version of that creature. While in this form you retain all traits and features from the original form and gain: a +6 bonus to damage rolls; a +1 bonus to the trait used by this form; a +2 bonus to Evasion.",,,,,true
Legendary Hybrid,3,"Griffon, Sphinx",Strength,2,3,Melee,Strength,d10+8,,,,,Hybrid Features,"To transform into this creature, mark an additional Stress. Choose any two Beastform options from Tiers 1–2. Choose a total of four advantages and two features from those options.",,,,,true
Massive Behemoth,4,"Elephant, Mammoth, Rhinoceros",Strength,3,1,Melee,Strength,d12+12,locate,protect,scare,sprint,Carrier,You can carry up to four willing allies with you when you move.,Demolish,"Spend a Hope to move up to Far range in a straight line and make an attack against all targets within Melee range of the line. Targets you succeed against take d8+10 physical damage using your Proficiency and are temporarily Vulnerable.",Undaunted,You gain a +2 bonus to all your damage thresholds.,false
Terrible Lizard,4,"Brachiosaurus, Tyrannosaurus",Strength,3,2,Melee,Strength,d12+10,attack,deceive,scare,track,Devastating Strikes,"When you deal Severe damage to a target within Melee range, you can mark a Stress to force them to mark an additional Hit Point.",Massive Stride,You can move up to Far range without rolling. You ignore rough terrain due to your size.,,,false
Mythic Aerial Hunter,4,"Dragon, Pterodactyl, Roc, Wyvern",Finesse,3,4,Melee,Finesse,d10+11,attack,deceive,locate,navigate,Carrier,You can carry up to three willing allies with you when you move.,Deadly Raptor,"You can fly at will and move up to Far range as part of your action. When you move in a straight line into Melee range of a target from at least Close range and make an attack against that target in the same action, you can reroll all damage dice that rolled a result lower than your Proficiency.",,,false
Epic Aquatic Beast,4,"Giant Squid, Whale",Agility,3,3,Melee,Agility,d10+10,locate,protect,scare,track,Ocean Master,"You can breathe and move naturally underwater. When you succeed on an attack against a target within Melee range, you can temporarily Restrain them.",Unyielding,"When you would mark an Armor Slot, roll a d6. On a result of 5 or higher, reduce the severity by one threshold without marking an Armor Slot.",,,false
Mythic Beast,4,,,,,,,,,,,,Evolved,"Pick a Tier 1 or Tier 2 Beastform option and become a larger, more powerful version of that creature. While in this form you retain all traits and features from the original form and gain: a +9 bonus to damage rolls; a +2 bonus to the trait used by this form; a +3 bonus to Evasion; your damage die increases by one size (d6 becomes d8, d8 becomes d10, etc.).",,,,,true
Mythic Hybrid,4,"Chimera, Cockatrice, Manticore",Strength,3,2,Melee,Strength,d12+10,,,,,Hybrid Features,"To transform into this creature, mark 2 additional Stress. Choose any three Beastform options from Tiers 1–3. Choose a total of five advantages and three features from those options.",,,,,true
